call_no,title,author,category,category_label,status,status_label
FIC / TAM 813,The Long Monsoon,Kavitha Ilangovan,fiction,Fiction,avail,Available
NF / HIST 954,Ports of the Coromandel,R. Sundaresan,nonfiction,Non-fiction,avail,Available
JUV / PIC 398,The Fisherman's Lantern,Meera Das,children,Children's,out,Checked out
PER / ARCH 720,"Harbour Quarterly, No. 44",Beacon Local Press,periodical,Periodical,avail,Available
HER / LOG 112,"Shipping Ledger, 1921-1926",Harbour Office Archive,heritage,Local heritage,avail,Reading room only
FIC / ENG 621,Salt and Circumstance,Priya Warrick,fiction,Fiction,avail,Available
NF / SCI 502,Tides: A Coastal Almanac,Dr. A. Krishnan,nonfiction,Non-fiction,out,Checked out
JUV / FIC 244,Nila and the Night Tide,Meera Das,children,Children's,avail,Available
HER / ORAL 088,Voices of the Fish Market (Oral History Vol. 3),Local Heritage Archive,heritage,Local heritage,avail,Reading room only
JAS / ORA 022,All in one,Ananymous,novel,Novel,out,out
